iter,emin,light,heavy,frac_l,frac_h
0,4.0,820.1975967174319,753.7378499114266,0.1820684231222965,0.3241250491545419
0,8.0,803.5826600159305,753.7378499114266,0.1836893203883495,0.42275728155339803
0,16.0,803.5826600159305,753.7378499114266,0.10744908896034298,0.5444801714898178
0,32.0,786.9677233144291,737.1229132099252,0.08615344872126066,0.5538620511495738
1,4.0,807.8145001648807,743.106617496454,0.25320263975155277,0.23039596273291926
1,8.0,807.8145001648807,743.106617496454,0.16606213530988803,0.3161961835672607
1,16.0,807.8145001648807,743.106617496454,0.096403909963232,0.41332615908887094
1,32.0,786.2452059420717,721.537323273645,0.0880093737794558,0.3520374951178232
2,4.0,814.5550583812187,759.9934205602756,0.21808304229724484,0.3766006984866123
2,8.0,814.5550583812187,741.8062079532945,0.13386138613861387,0.30716831683168316
2,16.0,796.3678457742376,741.8062079532945,0.13614174651961672,0.4102332308804918
2,32.0,778.1806331672566,723.6189953463135,0.11851851851851852,0.37895771878072765
3,4.0,817.1325321422764,744.9901461287187,0.2010708480734296,0.24945023424801607
3,8.0,799.096935638887,744.9901461287187,0.20843535265776794,0.33291209225179685
3,16.0,799.096935638887,744.9901461287187,0.12415956969968624,0.44778126400717166
3,32.0,781.0613391354975,726.9545496253293,0.10805872756933116,0.4136378466557912
4,4.0,814.5550583812187,741.8062079532945,0.21425056588918415,0.22763507528786536
4,8.0,796.3678457742376,741.8062079532945,0.21495107632093932,0.30724070450097846
4,16.0,796.3678457742376,741.8062079532945,0.1375524413103633,0.40971168437025796
4,32.0,778.1806331672566,741.8062079532945,0.11974776397915192,0.6009909272247603
5,4.0,810.4055217003436,746.1067476954111,0.23504691164972635,0.25908913213448004
5,8.0,788.9725970320327,746.1067476954111,0.269035129550151,0.3493880146240661
5,16.0,788.9725970320327,746.1067476954111,0.16583912611717974,0.4627606752730884
5,32.0,788.9725970320327,724.6738230271002,0.07789418884622894,0.3937007874015748
6,4.0,802.3076619529149,748.7359934950846,0.28243831640058054,0.2818577648766328
6,8.0,784.4504391336382,748.7359934950846,0.29777533212797735,0.37583523307916045
6,16.0,784.4504391336382,748.7359934950846,0.19639332495962677,0.48474789162031223
6,32.0,784.4504391336382,730.8787706758079,0.0933635480738103,0.4731628358692133
7,4.0,788.2609280909045,766.7924199755372,0.38155958803334966,0.4376655223148602
7,8.0,809.7294362062717,745.3239118601699,0.15328410415856977,0.3378157792460163
7,16.0,788.2609280909045,745.3239118601699,0.1746587643678161,0.4462104885057471
7,32.0,788.2609280909045,723.8554037448026,0.08238895401849682,0.38061742868307935
8,4.0,802.5289822561285,756.0799073982541,0.2765812298996199,0.34509307085079427
8,8.0,802.5289822561285,756.0799073982541,0.18380483153210425,0.45494278448823905
8,16.0,802.5289822561285,740.5968824456293,0.10921228304405875,0.3943035157988429
8,32.0,787.0459573035038,725.1138574930044,0.08117073170731708,0.3957723577235772
9,4.0,815.3508296361372,746.4062151120924,0.20884713251125464,0.26159718144450966
