iter,emin,light,heavy,frac_l,frac_h
0,4.0,846.8433628250759,741.5747459614261,0.14593535749265427,0.3555337904015671
0,8.0,804.7359160796159,762.6284693341561,0.18685121107266436,0.5501730103806228
0,16.0,783.682192706886,762.6284693341561,0.18202247191011237,0.6752808988764045
0,32.0,804.7359160796159,720.521022588696,0.0603448275862069,0.4396551724137931
1,4.0,934.6426080297161,704.0487200642824,0.013371537726838587,0.20534861509073543
1,8.0,808.864123684934,766.9379622366733,0.17647058823529413,0.5966386554621849
1,16.0,808.864123684934,745.974881512543,0.07932960893854749,0.5374301675977654
1,32.0,808.864123684934,745.974881512543,0.0423728813559322,0.6299435028248588
2,4.0,804.7359160796159,699.467299215966,0.30754162585700295,0.21939275220372184
2,8.0,804.7359160796159,762.6284693341561,0.2040072859744991,0.5701275045537341
2,16.0,783.682192706886,741.5747459614261,0.19628339140534262,0.4634146341463415
2,32.0,804.7359160796159,720.521022588696,0.041401273885350316,0.4745222929936306
3,4.0,928.4242494332433,740.0695991712818,0.017034068136272545,0.3316633266533066
3,8.0,802.8544825919356,740.0695991712818,0.21471343028229256,0.41573994867408043
3,16.0,781.9261881183843,740.0695991712818,0.21173762945914845,0.45109321058688145
3,32.0,802.8544825919356,740.0695991712818,0.05475504322766571,0.6109510086455331
4,4.0,812.5240657479162,740.3139058653155,0.2714285714285714,0.3448979591836735
4,8.0,830.5766057185665,722.2613658946652,0.10698878343399482,0.30543572044866263
4,16.0,794.4715257772662,722.2613658946652,0.1394335511982571,0.3627450980392157
4,32.0,812.5240657479162,776.4189858066159,0.07871720116618076,0.7667638483965015
5,4.0,804.4606029351082,741.2243474138706,0.29442691903259727,0.38275499474237645
5,8.0,804.4606029351082,762.3030992542831,0.18867924528301888,0.5579514824797843
5,16.0,804.4606029351082,783.3818510946957,0.10631229235880399,0.8117386489479512
5,32.0,804.4606029351082,741.2243474138706,0.058011049723756904,0.6243093922651933
6,4.0,894.6889729976904,659.7759212819396,0.035538005923000986,0.1194471865745311
6,8.0,809.2660451010538,766.5545811527354,0.16164383561643836,0.593607305936073
6,16.0,809.2660451010538,745.1988491785763,0.08144796380090498,0.5294117647058824
6,32.0,809.2660451010538,745.1988491785763,0.06451612903225806,0.6217008797653959
7,4.0,851.4984114822396,745.3351210031058,0.13142292490118576,0.3804347826086957
7,8.0,833.8045297357173,763.029002749628,0.10160427807486631,0.551693404634581
7,16.0,816.1106479891951,745.3351210031058,0.07378854625550661,0.525330396475771
7,32.0,816.1106479891951,639.1718305239717,0.0410958904109589,0.10136986301369863
8,4.0,823.7827770654869,740.0695991712818,0.21098265895953758,0.3468208092485549
8,8.0,802.8544825919356,760.9978936448331,0.1909246575342466,0.5753424657534246
8,16.0,781.9261881183843,760.9978936448331,0.20689655172413793,0.6340378197997776
8,32.0,802.8544825919356,740.0695991712818,0.07909604519774012,0.5649717514124294
9,4.0,818.3611140090616,752.3447562730333,0.2543352601156069,0.41329479768786126
9,8.0,818.3611140090616,752.3447562730333,0.13566936208445643,0.5166217430368374
9,16.0,818.3611140090616,774.3502088517093,0.06343713956170703,0.740484429065744
9,32.0,840.3665665877376,708.3338511156812,0.015197568389057751,0.3951367781155015
10,4.0,808.7850887497567,747.617643372145,0.2994296577946768,0.3916349809885932
10,8.0,808.7850887497567,747.617643372145,0.1832129963898917,0.463898916967509
10,16.0,829.1742372089607,727.2284949129412,0.04575892857142857,0.37723214285714285
10,32.0,829.1742372089607,706.8393464537372,0.020527859237536656,0.36656891495601174
11,4.0,835.43066354098,724.6693961506693,0.16297786720321933,0.289738430583501
11,8.0,835.43066354098,724.6693961506693,0.09090909090909091,0.3493265993265993
11,16.0,791.1261565848557,768.9739031067936,0.16402714932126697,0.6889140271493213
11,32.0,813.2784100629178,702.5171426726072,0.0457516339869281,0.3333333333333333
12,4.0,811.7764458599503,750.0851367969395,0.26699507389162563,0.4246305418719212
12,8.0,832.3402155476206,708.9575974215991,0.1009009009009009,0.24504504504504504
12,16.0,852.9039852352907,750.0851367969395,0.013172338090010977,0.5740944017563118
12,32.0,811.7764458599503,750.0851367969395,0.04297994269340974,0.673352435530086
13,4.0,830.621777075213,745.1988491785763,0.18067632850241547,0.39903381642512076
13,8.0,851.9775090493721,723.8431172044171,0.06266548984995587,0.3027360988526037
13,16.0,830.621777075213,702.487385230258,0.04561003420752566,0.24629418472063855
13,32.0,809.2660451010538,745.1988491785763,0.03715170278637771,0.6099071207430341
14,4.0,808.5896071107143,770.9060445481504,0.3235887096774194,0.4969758064516129
14,8.0,789.7478258294323,752.0642632668684,0.2630252100840336,0.4907563025210084
14,16.0,902.7985135171242,733.2224819855863,0.003303964757709251,0.42731277533039647
14,32.0,770.9060445481504,733.2224819855863,0.19805194805194806,0.5422077922077922
15,4.0,797.9675938673711,758.6316295999479,0.34390485629335976,0.44697720515361744
15,8.0,778.2996117336595,758.6316295999479,0.3373083475298126,0.5332197614991482
15,16.0,797.9675938673711,758.6316295999479,0.13519553072625698,0.5966480446927375
15,32.0,797.9675938673711,778.2996117336595,0.07605633802816901,0.8309859154929577
16,4.0,859.5084026906065,703.201422748844,0.10331384015594541,0.19395711500974658
16,8.0,781.3549127197252,761.816540227005,0.326605504587156,0.5376146788990825
16,16.0,859.5084026906065,742.2781677342847,0.012290502793296089,0.49273743016759775
16,32.0,781.3549127197252,742.2781677342847,0.1787878787878788,0.6151515151515151
17,4.0,846.6181066159331,720.1455955734582,0.13747454175152748,0.26476578411405294
