,iter,emin,light,heavy,frac_l,frac_h,SMD
0,0,8.0,804.9917471525487,741.918024459989,0.1640302613480055,0.37697730398899587,1.9873212725894955
1,0,16.0,789.2233164794088,741.918024459989,0.14600389863547758,0.5076023391812865,5.154122154372508
2,0,32.0,773.4548858062689,726.1495937868492,0.11447284117605183,0.531145440307539,8.156037480350523
3,1,8.0,798.2547843305774,741.0421590726553,0.18854022191400832,0.3723994452149792,2.0552095196269367
4,1,16.0,783.9516280160968,741.0421590726553,0.1706128812238137,0.49858715775114487,4.945942442597434
5,1,32.0,783.9516280160968,726.7390027581748,0.07660768234786362,0.5365415048194504,8.039898608274495
6,2,8.0,797.3577787403799,731.6361203100762,0.19386149003147954,0.281129765652326,1.9554788331548771
7,2,16.0,797.3577787403799,731.6361203100762,0.1145783016133707,0.3892377548062989,5.085959306030598
8,2,32.0,780.9273641328039,731.6361203100762,0.09190574499893216,0.5859614152488076,8.336672995518525
9,3,8.0,785.2563024546521,746.001169616748,0.25999129299085766,0.41419242490204616,1.9346518036442644
10,3,16.0,785.2563024546521,746.001169616748,0.16604696673189823,0.5417808219178082,5.062831982470471
11,3,32.0,765.6287360357001,726.3736031977959,0.14706934802834037,0.5376082444714807,7.5497680463704855
12,4,8.0,790.8011083547095,742.0887568404155,0.22966751918158568,0.3838874680306905,2.0589377725317664
13,4,16.0,790.8011083547095,742.0887568404155,0.13880278961642775,0.5073614877954281,4.822170662159869
14,4,32.0,790.8011083547095,709.6138558308861,0.05920114122681883,0.3225392296718973,7.498704450199366
15,5,8.0,793.6896952533031,746.7185330295324,0.20848852317020355,0.4257254222607189,2.067992199434777
16,5,16.0,793.6896952533031,731.0614789549422,0.13237423964468475,0.38708120112001543,5.085712932013396
17,5,32.0,778.0326411787129,715.4044248803519,0.09901271397116272,0.3961929114283685,7.925658130843628
18,6,8.0,796.9706641783399,739.8429301686695,0.19141942738517428,0.36467433613009254,2.0070254600269077
19,6,16.0,782.6887306759222,739.8429301686695,0.17549507365135109,0.4820993073846454,5.184016902413438
20,6,32.0,782.6887306759222,725.5609966662518,0.08324332109166847,0.5156621300496868,7.924832090519511
21,7,8.0,784.6080278706637,745.2880675743608,0.26119082395394794,0.4217716298651087,1.8998463291319725
22,7,16.0,784.6080278706637,745.2880675743608,0.16520142981354458,0.537532605545358,5.0899548048730345
23,7,32.0,784.6080278706637,725.6280874262093,0.07496740547588006,0.5345501955671447,7.661117992529165
24,8,8.0,787.235436805497,746.1225742762132,0.2580364900086881,0.41763683753258035,2.0610418165567315
25,8,16.0,787.235436805497,746.1225742762132,0.15392812167005715,0.5433498014143175,4.686337398752936
26,8,32.0,766.6790055408551,725.5661430115713,0.14402595570602342,0.524615601636338,7.997039399652865
27,9,8.0,805.3107418585323,736.6299585849732,0.15614050081189643,0.3295444833774891,1.9448466052401743
28,9,16.0,788.1405460401426,736.6299585849732,0.14617169373549885,0.449245939675174,5.182346417157227
29,9,32.0,788.1405460401426,719.4597627665835,0.06375552072944864,0.445433822481835,7.961860507081309
30,10,8.0,794.4671282496487,745.195406816389,0.21269730531089212,0.40777884363826633,2.0909336131959413
31,10,16.0,794.4671282496487,745.195406816389,0.1251097025841053,0.53954168698196,5.112133169405609
32,10,32.0,778.0432211052288,728.7714996719691,0.09766941556113302,0.5596271064897813,7.6542822926500715
33,11,8.0,786.3515355111955,747.2059259789457,0.2501083282780137,0.4357396654822775,1.9927051220799659
34,11,16.0,786.3515355111955,747.2059259789457,0.1598498700798768,0.5575979212780291,5.232585311702018
35,11,32.0,786.3515355111955,727.6331212128208,0.07131094723276295,0.5475764301567981,8.092121940253929
36,12,8.0,794.5581326593401,747.5211205349691,0.20592592592592593,0.4300653594771242,2.030566009237471
37,12,16.0,794.5581326593401,747.5211205349691,0.12556790720154665,0.5581440309328178,5.055111544500136
38,12,32.0,778.8791286178831,716.1631124520551,0.09323959664820337,0.404061923022298,8.360250148788548
39,13,8.0,799.9790999994775,743.394846561736,0.18353494038812984,0.392045949003568,1.978302041672106
40,13,16.0,781.117682186897,743.394846561736,0.1940195401164512,0.5142603375111023,5.003174987773938
41,13,32.0,781.117682186897,724.5334287491555,0.08741382986283847,0.5135384834055859,8.324630361108662
42,14,8.0,801.6574987164366,742.2653725926593,0.17148279133960148,0.3819546277926335,1.9801831512870522
43,14,16.0,801.6574987164366,742.2653725926593,0.10364921666029805,0.5029614061902943,5.034353707660551
44,14,32.0,781.8601233418442,722.4679972180669,0.08626198083067092,0.47831025914093006,7.9502371704867985
45,15,8.0,793.3772674558137,743.3649842882104,0.2072821846553966,0.39627221499783266,1.839661775391417
46,15,16.0,776.706506399946,743.3649842882104,0.20625667929660935,0.5227824735256971,4.8624035381576105
47,15,32.0,793.3772674558137,710.0234621764748,0.05052844939916027,0.3242362820327204,7.596913281457882
48,16,8.0,802.9487226145105,732.0116983205075,0.170353596934332,0.285577425535621,2.027321554707138
49,16,16.0,785.2144665410099,732.0116983205075,0.16186770428015565,0.39426070038910505,5.080735609884342
