d_r,beta_r,chisq,4,8,16,32
0.0001,0.1,94.43325659548219,0.00011087581268608191,0.00011329505236513701,0.00011504578412075115,0.00011600216458424836
0.0001,0.2,94.39419991970698,0.00012358099627618192,0.00012925166706096401,0.00013312199601375548,0.00013528159276035643
0.0001,0.30000000000000004,94.3471812636721,0.0001383793800877038,0.00014842500389032067,0.0001549576820421983,0.00015863492993420576
0.0001,0.4,94.2904208532929,0.00015558362913307332,0.0001714954488940602,0.00018147733482813103,0.00018708181489893145
0.0001,0.5,94.22170288807195,0.00017556329289244568,0.00019929777055717961,0.00021385664786519252,0.0002219346958919537
0.0001,0.6,94.13826222308514,0.00019875443057136517,0.00023285735150510315,0.0002535948381839333,0.0002648923607265783
0.0001,0.7000000000000001,94.03663997217794,0.00022567109609199896,0.0002734352653222547,0.0003026086180962809,0.0003181657064592495
0.0001,0.8,93.9124991775347,0.0002569190232443878,0.0003225844234669765,0.0003633544982191448,0.0003846474656771023
0.0001,0.9,93.7603891223562,0.00029321191950788133,0.0003822195925149717,0.00043898822229245616,0.00046814203056909815
0.0001,1.0,93.57344356944814,0.00033539085828779037,0.0004547048093590052,0.0005335729405911154,0.0005736776608565843
0.0001,1.1,93.34299401358562,0.00038444735639033706,0.0005429626425522947,0.0006523514514081822,0.0007079319138302645
0.0001,1.2000000000000002,93.05807375028296,0.0004415508397124202,0.0006506109139804608,0.0008021027849633995,0.0008798130606975475
0.0001,1.3000000000000003,92.7047820144186,0.0005080813392364529,0.000782133973129477,0.0009916099810430212,0.0011012569165756946
0.0001,1.4000000000000001,92.2654695374826,0.0005856684261679386,0.000943097491412679,0.0012322746706975106,0.0013883218384510556
0.0001,1.5000000000000002,91.71769774067661,0.0006762375950602107,0.0011404181248738782,0.0015389257522526944,0.0017626973638784557
0.0001,1.6,91.03291404647398,0.000782065543812704,0.0013827024187475791,0.001930885046348855,0.002253787941606948
0.0001,1.7000000000000002,90.17477710618142,0.0009058460876714865,0.0016806731740448048,0.002433373661415444,0.0029015979401705336
0.0001,1.8000000000000003,89.09706180845579,0.0010507687906470536,0.002047706391175685,0.0030793707027596557,0.0037607354355089005
0.0001,1.9000000000000001,87.74108244607108,0.0012206128139661146,0.0025005081386124594,0.0039120733475240576,0.004905981330444587
0.0001,2.0,86.03260996112883,0.0014198589816134175,0.0030599686370163994,0.004988157468806192,0.0064400470427322856
0.0001,2.1,83.8783709642625,0.0016538236649810746,0.0037522409766992146,0.006382105365443582,0.00850431475706506
0.0001,2.2,81.16246025426405,0.0019288188129922953,0.004610104808318046,0.008191957747442037,0.011293534193480819
0.0001,2.3000000000000003,77.74366417391926,0.002252343326000725,0.0056746918449516424,0.010546969078022701,0.01507471016805365
0.0001,2.4000000000000004,73.45621795838115,0.0026333120217211315,0.006997671090978845,0.013617809712882744,0.020207128774296246
0.0001,2.5000000000000004,68.11874779161829,0.0030823297061949133,0.008644018656658634,0.017630179972981077,0.027155635669785818
0.0001,2.6,61.561065139257636,0.0036120193867769973,0.010695531479976898,0.022883000665248076,0.03646999488118629
0.0001,2.7,53.68153615090679,0.004237415501073684,0.013255288382910426,0.029772749253278587,0.0486818180234718
0.0001,2.8000000000000003,44.536167100149406,0.004976435250625896,0.01645331836754337,0.038826058458999016,0.0641130620256863
